('árpagyöngy',1464,350,9,1.4,75,3,120,43,20,NULL,0.2),
('árpapehely',1537,368,12,2,75,5,289,25.7,86.1,NULL,NULL),
('barnarizs',1584,379,6.7,2.8,81.3,3,250,10,110,NULL,NULL),
('burgonyakeményítõ',1409,337,0.6,0.1,83.1,8,15,35,NULL,NULL,NULL),
('búzacsíra',1428,342,25,8,42,5,837,69,250,NULL,11.7),
('búzadara',1429,342,9.4,1,73.4,3,330,19,40,NULL,1),
('búzakeményítõ',1398,334,0.4,0.1,82.5,2,16,NULL,NULL,NULL,NULL),
('búzakorpa',706,169,14.9,4.7,16.7,2,1390,43,590,833,2.8),
('búzaliszt',1461,350,12.3,1.3,76.3,3,140,13,20,3,0.4),
('búzapehely',1342,321,12.5,1.5,64,1,343,29.7,108.8,NULL,NULL),
('durum liszt',1493,357,12.5,1.5,73,1,81,19.9,35.9,NULL,NULL),
('grahamliszt',1392,333,14.4,1.8,64.4,3,140,39,20,3,1.5),
('hajdina',1427,341,9.8,1.7,71.3,NULL,324,21,85,NULL,0.1),
('köles',1462,350,9.5,3.9,68.8,3,220,25,170,NULL,0.1),
('kukoricadara',1458,349,9.6,3.1,70.2,50,60,22,7,50,1.3),
('kukoricaliszt',1458,349,9.6,3.1,70.2,50,60,22,7,50,1.3),
('kukoricapehely',1546,370,7.7,0.6,83,910,139,13,14,NULL,0),
('natúr müzli',1421,340,8.5,2.7,70,37,357,58.4,109.1,NULL,NULL),
('puffasztott búzaszelet',1421,340,13.9,2.6,64.8,8,559,44.7,202.6,91,3.5),
('rizs',1471,352,8,0.3,77.5,6,112,8,13,NULL,0.1),
('rozsliszt',1446,346,10,1.1,73.6,10,150,30,25,17,2.6),
('rozspehely',1233,295,8.8,1.7,60.7,40,510,64,120,NULL,NULL),
('zabkorpa',1423,340,15.3,5.5,57,2,444,82.9,171.7,NULL,NULL),
('zabpehely',1579,378,14.4,6.8,64.3,30,350,71,110,NULL,1.5),
('zsemlemorzsa',1437,344,10.2,0.9,73.3,780,138,29,35,NULL,0.4),
('zsírtalan szójaliszt',1386,332,47,2,31,4,1800,200,240,NULL,NULL),
('burgonyás kenyér',1081,259,10.8,1.7,49.7,790,322,17.8,5,0,2.6),
('félbarna kenyér',1081,259,9.8,1,52.3,800,117,20,72,NULL,0.3),
('kenyér',1050,251,10,0.8,53.5,808,117,20,48,NULL,0.3),
('bakonyi barna kenyér',1023,245,8.5,0.8,50.6,467,125,28.6,24,NULL,0.3),
('dabasi rozsos kenyér',1076,257,10.1,1.8,49.9,467,125,28.6,24,NULL,0.3),
('graham kenyér',1115,267,10.1,1,54,686,295,25,40,NULL,0.3),
('lenmagos barnakenyér',1378,330,14.4,5.7,54.8,790,165,46.7,NULL,NULL,1.5),
('magvas barnakenyér',1253,300,10.9,8.5,44.6,399,203,81.9,79.7,75,0.4),
('rozskenyér',1071,256,8.1,0.9,53.6,467,125,28.6,24,NULL,0.3),
('korpás zsemle. kifli',1055,252,10.5,1.5,48.9,504,373,25.5,150.8,142,0.6),
('zsemle. kifli',1142,273,9.4,0.7,57,630,119,21.1,41,NULL,0.3),
